Year;Reference_Area_Code;Reference_Area;Labour_Share_alcd2;Capital_Stock_oknd;Hours_nlht;;;;;;
2022;AUS;Australia;55,7;3521,4;23086,16015;;;;;;
2022;AUT;Austria;61,9;1333,1;7209;;;;;;
2022;BEL;Belgium;63,7;1365,2;8036,3;;;;;;
2022;CAN;Canada;58,5;3215,4;34023,1;;;;;;
2022;CHE;Switzerland;64,8;1996,6;7965,5;;;;;;
2022;DEU;Germany;63;10174,7;61297;;;;;;
2022;DNK;Denmark;58,7;805,2;4379,8;;;;;;
2022;ESP;Spain;61,8;4488,3;34448,7;;;;;;
2022;FIN;Finland;61,1;794;4281,4;;;;;;
2022;FRA;France;67,6;7938,4;45035,9;;;;;;
2022;GBR;United Kingdom;62,4;7099,2;49610,4;;;;;;
2022;GRC;Greece;56,1;767,1;10054,5;;;;;;
2022;ITA;Italy;57,8;5939,2;43212,2;;;;;;
2022;JPN;Japan;64,6;14357,5;109777;;;;;;
2022;LUX;Luxembourg;58,6;153,1;737,6;;;;;;
2022;NLD;Netherlands;60,9;2276;14511,2;;;;;;
2022;NOR;Norway;39,4;1127,9;4166;;;;;;
2022;NZL;New Zealand;61,7;551,9;4856,654;;;;;;
2022;PRT;Portugal;63,6;613;9536,4;;;;;;
2022;SWE;Sweden;62,8;1716,6;8554,6;;;;;;
2022;USA;United States;58,7;46586,3;282005;;;;;;
