Year,Reference_Area_Code,Reference_Area,Gross_Value_Added_gva,Total_Labour_Compensation_lctot,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Hours_hrsto,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check
2000,CAN,Canada,1027448.0,621691.0389,2.884253347,4.783970654,26945.885,0.6050827281769978,0.3949172718230022,0.4266888849280448,,0.04783970654,,,0.02884253347,
2001,CAN,Canada,1065641.0,642719.1951,3.853624618,4.033590272,26994.422,0.6031291918197592,0.3968708081802408,0.4185206147109325,-0.008168270217112306,0.04033590272,0.0017996565388465058,0.03853624618115349,0.03853624618,1.153493967009922e-12
2002,CAN,Canada,1105076.0,665444.0374,1.053139517,2.427219264,27367.907,0.6021703823085471,0.39782961769145286,0.41451661498237385,-0.004003999728558638,0.024272192640000002,0.013740797471781363,0.01053139516821864,0.01053139517,-1.7813597819049676e-12
2003,CAN,Canada,1165458.0,692207.0862,1.424477523,2.997247823,27801.744,0.593935676961332,0.406064323038668,0.3802594473726258,-0.03425716760974806,0.02997247823,0.015727703001530813,0.014244775228469186,0.01424477523,-1.5308136702696373e-12
2004,CAN,Canada,1241734.0,729985.749,2.081474076,4.292476218,28423.287,0.5878761063158454,0.4121238936841546,0.35519220518293104,-0.02506724218969475,0.04292476218,0.02211002142655971,0.020814740753440288,0.020814740760000002,-6.559714577081266e-12
2005,CAN,Canada,1323877.0,769331.1301,4.615782953,5.580499281,28698.818,0.5811197944370965,0.4188802055629035,0.32737194877153764,-0.027820256411393407,0.055804992809999995,0.009647163280055437,0.04615782952994456,0.04615782953,-5.5441762292218755e-14
2006,CAN,Canada,1395911.0,816511.2106,4.303606808,5.652479116,29088.551,0.5849307087629512,0.41506929123704883,0.3430479205279013,0.01567597175636365,0.056524791160000004,0.013488723086439336,0.04303606807356067,0.043036068079999996,-6.4393282372954275e-12
2007,CAN,Canada,1473053.0,867263.0695,2.455410796,4.456729321,29676.57,0.588752115164899,0.411247884835101,0.35880907915270316,0.015761158624801874,0.04456729321,0.020013185248261678,0.02455410796173832,0.024554107959999998,1.738321292465983e-12
2008,CAN,Canada,1555048.0,904361.6663,2.213533767,3.434689876,30041.189,0.5815651132955382,0.41843488670446183,0.329201649903391,-0.029607429249312145,0.03434689876,0.012211561088724565,0.022135337671275436,0.022135337669999998,1.2754380884771876e-12
2009,CAN,Canada,1469122.0,897319.7475,3.355244022,0.057226616,29066.585,0.610786406779015,0.38921359322098503,0.4506190425566844,0.12141739265329338,0.00057226616,-0.03298017406205034,0.03355244022205034,0.03355244022,2.0503390651960274e-12
2010,CAN,Canada,1559055.0,922018.4732,-0.272391621,2.180456436,29788.36,0.5913957321582626,0.4086042678417374,0.36973826352114647,-0.08088077903553792,0.02180456436,0.024528480569040667,-0.0027239162090406666,-0.00272391621,9.59333307237742e-13
2011,CAN,Canada,1662363.0,968633.1051,1.540977988,2.915005056,30200.485,0.5826844709007599,0.4173155290992401,0.33380322336725693,-0.03593504015388954,0.02915005056,0.013740270675629773,0.015409779884370228,0.01540977988,4.370228137706711e-12
