Year,Ref_Area_Code,Reference_Area,Economic_Activity_Code,Economic_Activity,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Gross_Value_Added_gva,Hours_hrsto,Total_Labour_Compensation_lctot,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check,country_sector
2000,FRA,France,I,Accommodation and food service activities,-0.636163,4.130377109,26588.7,1565.227,23797.16927,0.8950106349689905,0.10498936503100953,2.142976541242322,,0.041303771090000004,,,-0.00636163,,France | I
2001,FRA,France,I,Accommodation and food service activities,4.033637343,3.650211108,27200.9,1559.237,24787.2012,0.9112640096467396,0.08873599035326041,2.3291670965820637,0.1861905553397416,0.03650211108,-0.0038342623493372585,0.04033637342933726,0.040336373429999996,-6.627337567621794e-13,France | I
2002,FRA,France,I,Accommodation and food service activities,2.590983332,2.741392499,28863.5,1561.584,26108.61415,0.9045546849827637,0.0954453150172363,2.24888929594772,-0.08027780063434387,0.027413924989999998,0.001504091674893182,0.025909833315106816,0.02590983332,-4.893183080945107e-12,France | I
2003,FRA,France,I,Accommodation and food service activities,0.47327552,2.747885748,29775.3,1597.511,26826.48617,0.900964429241687,0.09903557075831304,2.207986691439387,-0.04090260450833272,0.027478857479999997,0.0227461022822828,0.0047327551977171985,0.0047327552,-2.2828015519560374e-12,France | I
2004,FRA,France,I,Accommodation and food service activities,-0.333485806,2.458879826,30613.3,1642.748,28093.38894,0.9176857424714095,0.08231425752859045,2.4113106723707505,0.2033239809313634,0.02458879826,0.027923656319549295,-0.0033348580595492956,-0.0033348580599999998,4.507041441448312e-13,France | I
2005,FRA,France,I,Accommodation and food service activities,0.192264221,2.240899249,32544.7,1676.749,29717.49346,0.9131285112476072,0.08687148875239281,2.352446741976867,-0.05886393039388338,0.022408992489999998,0.020486350281307963,0.0019226422086920346,0.00192264221,-1.3079654546943598e-12,France | I
2006,FRA,France,I,Accommodation and food service activities,1.342516089,1.92338168,33860.4,1686.517,31487.57352,0.9299232590282454,0.07007674097175465,2.585511124420348,0.23306438244348104,0.0192338168,0.005808655910498395,0.013425160889501606,0.013425160890000001,-4.983947282655166e-13,France | I
2007,FRA,France,I,Accommodation and food service activities,-0.445389036,2.820496109,36267.7,1742.506,32795.73648,0.9042684394102742,0.09573156058972576,2.245578231744952,-0.33993289267539595,0.02820496109,0.0326588514589643,-0.004453890368964299,-0.004453890360000001,-8.964298053859565e-12,France | I
2008,FRA,France,I,Accommodation and food service activities,-0.701109065,2.068939197,36743.6,1791.449,34366.63845,0.9353095083225378,0.06469049167746221,2.6712632689116282,0.42568503716667605,0.020689391970000002,0.027700482618048916,-0.007011090648048914,-0.00701109065,1.9510859941562764e-12,France | I
2009,FRA,France,I,Accommodation and food service activities,0.386669598,-0.776733215,36173.2,1770.728,35312.1649,0.9761968777990337,0.023803122200966254,3.7138475281389374,1.0425842592273091,-0.00776733215,-0.011634028132874619,0.0038666959828746184,0.00386669598,2.874618511977678e-12,France | I
