Region;Core Growth Model;Structural Qualifier;Institution Stability;Country Name;Country Code;Log GDP pc (Constant 2021 international $, 2023);Governance score (-2,5 to 2,5, 2023);Human capital index plus  (HCI+): overall score (0-325, 2025);Gross capital formation (% of GDP, 2023);Trade (% of GDP, (2023);Total natural resources rents (% of GDP, 2021);Foreign direct investment, net inflows (% of GDP, avg 2010-2023);Manufacturing, value added (% of GDP, 2023);Services, value added (% of GDP, 2023)
Central Africa;Oil-led;Hydrocarbon-dominated economy;Fragile;Nigeria;NGA;8,967483103;-1,03092465;-0,936222919;-0,569138742;-1,643858999;0,025408445;-0,73121586;-0,635339658;-0,019329841
Central America;Agrarian-led;Agrarian economy with low-diversification services;Fragile;Nicaragua;NIC;8,922195428;-1,063116844;0,733038614;-0,007732428;0,402508294;-0,416094303;0,552449516;0,088898176;-0,46891085
Central America;Services-led;Low-diversification services structure;Fragile;El Salvador;SLV;9,343528223;0,220812499;-0,02088842;-0,186660238;-0,199115283;-0,725806051;-0,576993729;-0,183733707;0,76049443
Central America;Services-led;Low-diversification services structure;Fragile;Guatemala;GTM;9,424237184;-0,495942195;-0,526478503;-0,700250803;-1,062418116;-0,595193835;-0,480695493;0,029665852;0,815767204
Central America;Services-led;Low-diversification services structure;Fragile;Honduras;HND;8,774603673;-0,582883778;-0,593180948;-0,003424293;0,242052149;-0,661223443;0,036326815;0,197450944;0,485535766
Central America;Services-led;Logistics, finance, and trade hub;Stable;Panama;PAN;10,48773883;0,609199262;0,595012699;1,864194372;-0,027730956;-0,432585878;0,395003643;-1,241974107;1,363441241
Central America;Services-led;High-value-added manufacturing and business services;Stable;Costa Rica;CRI;10,165068;1,813780512;1,239534882;-0,848968869;-0,437890302;-0,704430328;0,152111004;-0,025398739;1,3837594
Guianas;Mining-led;Gold/bauxite-oriented extractive economy;Intermediate;Suriname;SUR;9,853291887;0,296521198;0,863952178;0,886501045;1,213606409;0,122829118;-0,662671547;1,639549482;-0,267776465
Guianas;Oil-led;Emerging offshore oil economy;Intermediate;Guyana;GUY;10,80593005;0,269616764;0,037867481;-0,916881692;1,460834905;2,379984393;1,119643255;-1,620258492;-2,859091179
South-East Asia;Agrarian-led;Frontier transition economy;Fragile;Cambodia;KHM;8,809159864;-0,551595349;-0,646377635;1,351925043;1,156949036;-0,697695901;1,022880391;1,759102114;-1,360685999
South-East Asia;Agrarian-led;Frontier transition economy;Fragile;Lao PDR;LAO;9,032666707;-0,505433466;-0,764597624;0,829153962;-0,370257655;-0,271621651;0,353430769;-0,63887997;-0,684461282
South-East Asia;Manufacturing-led;Diversified export manufacturing base;Stable;Malaysia;MYS;10,39994041;1,458310095;1,526829959;0,071655004;1,115269444;-0,127406375;-0,224923131;1,294145855;0,138600962
South-East Asia;Manufacturing-led;Export-oriented industrial economy;Stable;Thailand;THA;9,961353268;0,511656676;1,585999512;0,030017479;1,017893257;-0,605711863;-0,484111243;1,569108891;0,561815084
South-East Asia;Manufacturing-led;Export-oriented industrial economy;Stable;Viet Nam;VNM;9,513841756;0,113275407;2,01116972;1,150858404;1,947750298;-0,537315662;0,026654729;1,456879421;-0,831261558
South-East Asia;Services-led;Remittance- and services-supported;Intermediate;Philippines;PHL;9,200141838;0,346824202;0,640334506;0,145400008;-0,568402917;-0,591132334;-0,491909851;0,34114506;0,901857237
Southern Africa;Diversified;Resource-based and services-supported;Stable;South Africa;ZAF;9,524813505;0,524563599;-0,885205792;-0,832530538;-0,613355964;-0,089308988;-0,537881742;-0,115055295;0,929314182
Southern Africa;Mining-led;Mineral-based resource economy;Fragile;Zimbabwe;ZWE;8,559873809;-1,329974416;-0,629603938;-1,487540896;-1,269237787;-0,176456899;-0,60937104;0,207527282;-0,204716468
Southern Africa;Mining-led;Extractive-led with gas/mineral orientation;Intermediate;Mozambique;MOZ;7,321371349;-0,776523617;-1,375348143;-0,326905329;0,429776171;0,620793141;3,690134839;-0,937891317;-0,933450984
Southern Africa;Mining-led;Copper-dependent extractive model;Intermediate;Zambia;ZMB;8,208895863;0,120590681;-0,971548108;1,12626903;-0,288832755;2,528104074;-0,074549735;-0,743433378;0,420456773
Southern Africa;Mining-led;Diamond-intensive extractive model;Stable;Botswana;BWA;9,848634259;1,712403075;-0,01278035;0,986050515;-0,532664875;-0,678652398;-0,576847615;-1,147463963;0,625331341
Southern Africa;Mining-led;Mineral-based resource economy;Stable;Namibia;NAM;9,224013725;1,16982956;-0,583925425;0,707443728;0,551507157;-0,398313716;0,143979315;-0,38499034;0,116725374
Southern Africa;Oil-led;Hydrocarbon-dominated economy;Fragile;Angola;AGO;9,08117214;-0,609250213;-1,287581746;-1,208786658;-0,940059053;2,031830453;-1,410301181;-0,909054111;-0,873414369
