Region;Cluster;Country Name;Country Code
Central America & Caribbean;C. Am. & Carib.;Aruba;ABW
Middle East;Middle East;Afghanistan;AFG
Sub-Saharan Africa;Sub-Sah. Africa;Angola;AGO
Eastern Europe;E. Europe;Albania;ALB
Western Europe;W. Europe;Andorra;AND
Middle East;Middle East;United Arab Emirates;ARE
South America;S. America;Argentina;ARG
Central Asia & Caucasus;C. Asia & Cauc.;Armenia;ARM
Oceania;Oceania;American Samoa;ASM
Central America & Caribbean;C. Am. & Carib.;Antigua and Barbuda;ATG
Oceania;Oceania;Australia;AUS
Western Europe;W. Europe;Austria;AUT
Central Asia & Caucasus;C. Asia & Cauc.;Azerbaijan;AZE
Sub-Saharan Africa;Sub-Sah. Africa;Burundi;BDI
Western Europe;W. Europe;Belgium;BEL
Sub-Saharan Africa;Sub-Sah. Africa;Benin;BEN
Sub-Saharan Africa;Sub-Sah. Africa;Burkina Faso;BFA
South Asia;South Asia;Bangladesh;BGD
Eastern Europe;E. Europe;Bulgaria;BGR
Middle East;Middle East;Bahrain;BHR
Central America & Caribbean;C. Am. & Carib.;Bahamas;BHS
Eastern Europe;E. Europe;Bosnia and Herzegovina;BIH
Eastern Europe;E. Europe;Belarus;BLR
Central America & Caribbean;C. Am. & Carib.;Belize;BLZ
North America;N. America;Bermuda;BMU
South America;S. America;Bolivia;BOL
South America;S. America;Brazil;BRA
Central America & Caribbean;C. Am. & Carib.;Barbados;BRB
Southeast Asia;SE Asia;Brunei;BRN
South Asia;South Asia;Bhutan;BTN
Sub-Saharan Africa;Sub-Sah. Africa;Botswana;BWA
Sub-Saharan Africa;Sub-Sah. Africa;Central African Republic;CAF
North America;N. America;Canada;CAN
Western Europe;W. Europe;Switzerland;CHE
South America;S. America;Chile;CHL
East Asia;East Asia;China;CHN
Sub-Saharan Africa;Sub-Sah. Africa;Cote d'Ivoire;CIV
Sub-Saharan Africa;Sub-Sah. Africa;Cameroon;CMR
Sub-Saharan Africa;Sub-Sah. Africa;Democratic Republic of Congo;COD
Sub-Saharan Africa;Sub-Sah. Africa;Congo;COG
South America;S. America;Colombia;COL
Sub-Saharan Africa;Sub-Sah. Africa;Comoros;COM
Sub-Saharan Africa;Sub-Sah. Africa;Cape Verde;CPV
Central America & Caribbean;C. Am. & Carib.;Costa Rica;CRI
Central America & Caribbean;C. Am. & Carib.;Cuba;CUB
Central America & Caribbean;C. Am. & Carib.;Curacao;CUW
Central America & Caribbean;C. Am. & Carib.;Cayman Islands;CYM
Middle East;Middle East;Cyprus;CYP
Eastern Europe;E. Europe;Czechia;CZE
Western Europe;W. Europe;Germany;DEU
Sub-Saharan Africa;Sub-Sah. Africa;Djibouti;DJI
Central America & Caribbean;C. Am. & Carib.;Dominica;DMA
Western Europe;W. Europe;Denmark;DNK
Central America & Caribbean;C. Am. & Carib.;Dominican Republic;DOM
Maghreb;Maghreb;Algeria;DZA
South America;S. America;Ecuador;ECU
Maghreb;Maghreb;Egypt;EGY
Sub-Saharan Africa;Sub-Sah. Africa;Eritrea;ERI
Western Europe;W. Europe;Spain;ESP
Eastern Europe;E. Europe;Estonia;EST
Sub-Saharan Africa;Sub-Sah. Africa;Ethiopia;ETH
Western Europe;W. Europe;Finland;FIN
Oceania;Oceania;Fiji;FJI
Western Europe;W. Europe;France;FRA
Oceania;Oceania;Micronesia, Fed. Sts.;FSM
Sub-Saharan Africa;Sub-Sah. Africa;Gabon;GAB
Western Europe;W. Europe;United Kingdom;GBR
Central Asia & Caucasus;C. Asia & Cauc.;Georgia;GEO
Sub-Saharan Africa;Sub-Sah. Africa;Ghana;GHA
Sub-Saharan Africa;Sub-Sah. Africa;Guinea;GIN
Sub-Saharan Africa;Sub-Sah. Africa;Gambia;GMB
Sub-Saharan Africa;Sub-Sah. Africa;Guinea-Bissau;GNB
Sub-Saharan Africa;Sub-Sah. Africa;Equatorial Guinea;GNQ
Western Europe;W. Europe;Greece;GRC
Central America & Caribbean;C. Am. & Carib.;Grenada;GRD
Central America & Caribbean;C. Am. & Carib.;Guatemala;GTM
Oceania;Oceania;Guam;GUM
South America;S. America;Guyana;GUY
East Asia;East Asia;Hong Kong;HKG
Central America & Caribbean;C. Am. & Carib.;Honduras;HND
Eastern Europe;E. Europe;Croatia;HRV
Central America & Caribbean;C. Am. & Carib.;Haiti;HTI
Eastern Europe;E. Europe;Hungary;HUN
Southeast Asia;SE Asia;Indonesia;IDN
South Asia;South Asia;India;IND
Western Europe;W. Europe;Ireland;IRL
Middle East;Middle East;Iran;IRN
Middle East;Middle East;Iraq;IRQ
Western Europe;W. Europe;Iceland;ISL
Middle East;Middle East;Israel;ISR
Western Europe;W. Europe;Italy;ITA
Central America & Caribbean;C. Am. & Carib.;Jamaica;JAM
Middle East;Middle East;Jordan;JOR
East Asia;East Asia;Japan;JPN
Central Asia & Caucasus;C. Asia & Cauc.;Kazakhstan;KAZ
Sub-Saharan Africa;Sub-Sah. Africa;Kenya;KEN
Central Asia & Caucasus;C. Asia & Cauc.;Kyrgyzstan;KGZ
Southeast Asia;SE Asia;Cambodia;KHM
Oceania;Oceania;Kiribati;KIR
Central America & Caribbean;C. Am. & Carib.;Saint Kitts and Nevis;KNA
East Asia;East Asia;South Korea;KOR
Middle East;Middle East;Kuwait;KWT
Southeast Asia;SE Asia;Laos;LAO
Middle East;Middle East;Lebanon;LBN
Sub-Saharan Africa;Sub-Sah. Africa;Liberia;LBR
Maghreb;Maghreb;Libya;LBY
Central America & Caribbean;C. Am. & Carib.;Saint Lucia;LCA
Western Europe;W. Europe;Liechtenstein;LIE
South Asia;South Asia;Sri Lanka;LKA
Sub-Saharan Africa;Sub-Sah. Africa;Lesotho;LSO
Eastern Europe;E. Europe;Lithuania;LTU
Western Europe;W. Europe;Luxembourg;LUX
Eastern Europe;E. Europe;Latvia;LVA
East Asia;East Asia;Macao;MAC
Maghreb;Maghreb;Morocco;MAR
Western Europe;W. Europe;Monaco;MCO
Eastern Europe;E. Europe;Moldova;MDA
Sub-Saharan Africa;Sub-Sah. Africa;Madagascar;MDG
South Asia;South Asia;Maldives;MDV
North America;N. America;Mexico;MEX
Oceania;Oceania;Marshall Islands;MHL
Eastern Europe;E. Europe;North Macedonia;MKD
Sub-Saharan Africa;Sub-Sah. Africa;Mali;MLI
Western Europe;W. Europe;Malta;MLT
Southeast Asia;SE Asia;Myanmar;MMR
Eastern Europe;E. Europe;Montenegro;MNE
East Asia;East Asia;Mongolia;MNG
Sub-Saharan Africa;Sub-Sah. Africa;Mozambique;MOZ
Maghreb;Maghreb;Mauritania;MRT
Sub-Saharan Africa;Sub-Sah. Africa;Mauritius;MUS
Sub-Saharan Africa;Sub-Sah. Africa;Malawi;MWI
Southeast Asia;SE Asia;Malaysia;MYS
Sub-Saharan Africa;Sub-Sah. Africa;Namibia;NAM
Sub-Saharan Africa;Sub-Sah. Africa;Niger;NER
Sub-Saharan Africa;Sub-Sah. Africa;Nigeria;NGA
Central America & Caribbean;C. Am. & Carib.;Nicaragua;NIC
Western Europe;W. Europe;Netherlands;NLD
Western Europe;W. Europe;Norway;NOR
South Asia;South Asia;Nepal;NPL
Oceania;Oceania;Nauru;NRU
Oceania;Oceania;New Zealand;NZL
Middle East;Middle East;Oman;OMN
Middle East;Middle East;Northern Cyprus;OWID_CYN
Eastern Europe;E. Europe;Kosovo;OWID_KOS
Sub-Saharan Africa;Sub-Sah. Africa;Somaliland;OWID_SML
South Asia;South Asia;Pakistan;PAK
Central America & Caribbean;C. Am. & Carib.;Panama;PAN
South America;S. America;Peru;PER
Southeast Asia;SE Asia;Philippines;PHL
Oceania;Oceania;Palau;PLW
Oceania;Oceania;Papua New Guinea;PNG
Eastern Europe;E. Europe;Poland;POL
Central America & Caribbean;C. Am. & Carib.;Puerto Rico;PRI
Western Europe;W. Europe;Portugal;PRT
South America;S. America;Paraguay;PRY
Middle East;Middle East;Palestine;PSE
Middle East;Middle East;Qatar;QAT
Eastern Europe;E. Europe;Romania;ROU
Eastern Europe;E. Europe;Russia;RUS
Sub-Saharan Africa;Sub-Sah. Africa;Rwanda;RWA
Middle East;Middle East;Saudi Arabia;SAU
Sub-Saharan Africa;Sub-Sah. Africa;Sudan;SDN
Sub-Saharan Africa;Sub-Sah. Africa;Senegal;SEN
Southeast Asia;SE Asia;Singapore;SGP
Oceania;Oceania;Solomon Islands;SLB
Sub-Saharan Africa;Sub-Sah. Africa;Sierra Leone;SLE
Central America & Caribbean;C. Am. & Carib.;El Salvador;SLV
Western Europe;W. Europe;San Marino;SMR
Sub-Saharan Africa;Sub-Sah. Africa;Somalia;SOM
Eastern Europe;E. Europe;Serbia;SRB
Sub-Saharan Africa;Sub-Sah. Africa;South Sudan;SSD
Sub-Saharan Africa;Sub-Sah. Africa;Sao Tome and Principe;STP
South America;S. America;Suriname;SUR
Eastern Europe;E. Europe;Slovakia;SVK
Eastern Europe;E. Europe;Slovenia;SVN
Western Europe;W. Europe;Sweden;SWE
Sub-Saharan Africa;Sub-Sah. Africa;Eswatini;SWZ
Central America & Caribbean;C. Am. & Carib.;Sint Maarten (Dutch part);SXM
Sub-Saharan Africa;Sub-Sah. Africa;Seychelles;SYC
Middle East;Middle East;Syria;SYR
Sub-Saharan Africa;Sub-Sah. Africa;Chad;TCD
Sub-Saharan Africa;Sub-Sah. Africa;Togo;TGO
Southeast Asia;SE Asia;Thailand;THA
Central Asia & Caucasus;C. Asia & Cauc.;Tajikistan;TJK
Central Asia & Caucasus;C. Asia & Cauc.;Turkmenistan;TKM
Southeast Asia;SE Asia;East Timor;TLS
Oceania;Oceania;Tonga;TON
Central America & Caribbean;C. Am. & Carib.;Trinidad and Tobago;TTO
Maghreb;Maghreb;Tunisia;TUN
Middle East;Middle East;Turkey;TUR
Oceania;Oceania;Tuvalu;TUV
East Asia;East Asia;Taiwan;TWN
Sub-Saharan Africa;Sub-Sah. Africa;Tanzania;TZA
Sub-Saharan Africa;Sub-Sah. Africa;Uganda;UGA
Eastern Europe;E. Europe;Ukraine;UKR
South America;S. America;Uruguay;URY
North America;N. America;United States;USA
Central Asia & Caucasus;C. Asia & Cauc.;Uzbekistan;UZB
Central America & Caribbean;C. Am. & Carib.;Saint Vincent and the Grenadines;VCT
South America;S. America;Venezuela;VEN
Central America & Caribbean;C. Am. & Carib.;United States Virgin Islands;VIR
Southeast Asia;SE Asia;Vietnam;VNM
Oceania;Oceania;Vanuatu;VUT
Oceania;Oceania;Samoa;WSM
Eastern Europe;E. Europe;Kosovo;XKX
Middle East;Middle East;Yemen;YEM
Sub-Saharan Africa;Sub-Sah. Africa;South Africa;ZAF
Sub-Saharan Africa;Sub-Sah. Africa;Zambia;ZMB
Sub-Saharan Africa;Sub-Sah. Africa;Zimbabwe;ZWE
