STRUCTURE_ID;STRUCTURE_NAME;MEASURE_ID;MEASURE_NAME;UNIT_OF_MEASURE_ID;UNIT_OF_MEASURE_NAME;PRICE_BASE;TRANSFORMATION;ASSET_TYPE;CONVERSION_TYPE;BASE_PERIOD;UNIT_MULTIPLIER;MODULE;RELEVANCE;PROJECT_ROLE;ANALYTICAL_USE;DERIVED_VARIABLE;CORE_MEASURE_NAMING_PYTHON
AMECO.DB;AMECO Database;ALCD2;Adjusted wage share;PGDPFC;Percentage of GDP at factor cost;Current prices;Non transformed data;Not applicable;Not applicable;Not applicable;Not applicable;Firm-side pass-through;Robustness;Time-series and cross-section;Alternative regression regressor;;
AMECO.DB;AMECO Database;UWCD;Compensation of employees, Total economy;USD_PPP;US dollars, PPP converted;Current prices;Non transformed data;Not applicable;Not applicable;Not applicable;Billions;Firm-side pass-through;Core;Cross-section;Input for derived regression dependent variable;Total labour compensation (hour based);coe_nom_ppp
AMECO.DB;AMECO Database;UYGD;Gross domestic product, at factor cost ;XDC;National currency;Current prices;Non transformed data;Not applicable;Not applicable;Not applicable;Billions;Firm-side pass-through;Robustness;Time-series and cross-section;Intermediate calculation for alternative regression regressor;Adjusted labour share;
AMECO.DB;AMECO Database;UYGD;Gross domestic product, at factor cost ;USD_PPP;US dollars, PPP converted;Current prices;Non transformed data;Not applicable;PPP converted;Not applicable;Billions;Firm-side and worker-side pass-through;Core;Cross-section;Input for derived regression regressor;Labour productivity (hour based) and labour share;gdp_fc_nom_ppp
AMECO.DB;AMECO Database;UVGE;Gross value added, at basic prices ;XDC;National currency;Current prices;Non transformed data;Not applicable;Not applicable;Not applicable;Billions;Firm-side pass-through;Robustness;Time-series and cross-section;Intermediate calculation for alternative regression regressor;Adjusted labour share;
AMECO.DB;AMECO Database;UVGE;Gross value added, at basic prices ;USD_PPP;US dollars, PPP converted;Current prices;Non transformed data;Not applicable;PPP converted;Not applicable;Billions;Firm-side and worker-side pass-through;Robustness;Cross-section;Input for derived alternative regression regressor;Labour productivity (hour based);
AMECO.DB;AMECO Database;OKND;Net capital stock ;ECU_EUR;ECU/EUR;Constant prices;Non transformed data;Not applicable;ECU/EUR;Not applicable;Billions;CES bridge;Auxiliary;CES bridge;Extension;;
AMECO.DB;AMECO Database;OKND;Net capital stock ;XDC;National currency;Constant prices;Non transformed data;Not applicable;Not applicable;Not applicable;Billions;CES bridge;Auxiliary;CES bridge;Extension;;
AMECO.DB;AMECO Database;ZVGDF;Total factor productivity ;XDC_INP;National currency per unit of total inputs;Not applicable;Index;Not applicable;Not applicable;2020;Units;CES bridge;Auxiliary;CES bridge;Extension;;
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0);Annual GDP and components - income approach;D1;Compensation of employees;XDC;National currency;Current prices;Non transformed data;Not applicable;Not applicable;Not applicable;Millions;Income decomposition;Auxiliary;Time-series;Intermediate calculation;Income shares;
