country_id;country_name;year;gva_real_ppp;employment;employees;wage_pe_fte_real_ppp
CAN;Canada;1970;;8520,016547;7537,074214;
CAN;Canada;1971;;8703,452103;7714,440855;
CAN;Canada;1972;;8911,687807;7955,102553;
CAN;Canada;1973;;9327,840043;8394,87944;
CAN;Canada;1974;;9671,956007;8712,936181;
CAN;Canada;1975;;9798,161508;8837,432744;
CAN;Canada;1976;;9852,579384;8924,6898;
CAN;Canada;1977;;10065,75562;9122,90254;
CAN;Canada;1978;;10352,58267;9364,855504;
CAN;Canada;1979;;10812,55995;9775,95578;
CAN;Canada;1980;;11160,74901;10120,79134;
CAN;Canada;1981;;11489,19488;10418,65996;
CAN;Canada;1982;;11110,40545;10030,73078;
CAN;Canada;1983;;11202,17996;10076,50238;
CAN;Canada;1984;;11484,27879;10314,23954;
CAN;Canada;1985;;11885,6674;10651,72507;
CAN;Canada;1986;;12228,63834;11003,95876;
CAN;Canada;1987;;12599,20343;11349,7056;
CAN;Canada;1988;;13021,75867;11742,47625;
CAN;Canada;1989;;13334,26132;12027,44049;
CAN;Canada;1990;;13410,49204;12090,54154;50296,678
CAN;Canada;1991;;13179,62762;11835,73329;50486,547
CAN;Canada;1992;;13050,58652;11678,7716;51223,562
CAN;Canada;1993;;13156,75541;11697,20133;51112,61
CAN;Canada;1994;;13413,35755;11916,88363;50531,712
CAN;Canada;1995;;13626,07563;12136,0228;50418,618
CAN;Canada;1996;;13766,67369;12180,56036;50865,853
CAN;Canada;1997;1031214,922;14036,08;12384,365;52423,11
CAN;Canada;1998;1070128,107;14352,05;12630,865;53303,15
CAN;Canada;1999;1125704,932;14729,22;13017,845;53736,393
CAN;Canada;2000;1185399,587;15065,465;13445,885;55365,75
CAN;Canada;2001;1204897,752;15204,855;13676,245;55137,869
CAN;Canada;2002;1243698,395;15579,245;14015,505;54693,461
CAN;Canada;2003;1267637,734;15917,695;14326,515;54710,38
CAN;Canada;2004;1309324,133;16179,225;14620,74;55892,446
CAN;Canada;2005;1350106,004;16426,295;14837,86;57506,9
CAN;Canada;2006;1388010,517;16672,89;15103,8;59258,083
CAN;Canada;2007;1415693,948;17006,56;15408,8;60840,573
CAN;Canada;2008;1431093,601;17249,955;15646,98;61908,661
CAN;Canada;2009;1386728,892;16999,685;15379,26;62311,323
CAN;Canada;2010;1432567,554;17372,215;15757,325;62422,417
CAN;Canada;2011;1480361,406;17651,855;16047,56;63173,717
CAN;Canada;2012;1508982,119;17873,36;16287,865;63921,863
CAN;Canada;2013;1547336,797;18116,63;16509,98;64599
CAN;Canada;2014;1591960,182;18166,715;16594,85;65442,989
CAN;Canada;2015;1605072,061;18329,815;16757,805;65924,573
CAN;Canada;2016;1622178,307;18481,83;16904,86;64675,087
CAN;Canada;2017;1672609,318;18897,075;17317,04;65726,977
CAN;Canada;2018;1720708,879;19249;17640,08;66959,594
CAN;Canada;2019;1755298,469;19678,055;18051,265;67227,517
CAN;Canada;2020;1669808,388;17716,895;16355,995;69662,78
CAN;Canada;2021;1769403,901;19179,56;17692,745;70001,671
CAN;Canada;2022;1853017,737;20095,405;18601,45;69304,208
CAN;Canada;2023;1890003,445;20772,775;19299,7;69299,313
DEU;Germany;1970;1581405,042;;;
DEU;Germany;1971;1623995,258;;;
DEU;Germany;1972;1694700,575;;;
DEU;Germany;1973;1778489,151;;;
DEU;Germany;1974;1802707,102;;;
DEU;Germany;1975;1777654,04;;;
DEU;Germany;1976;1865061,399;;;
DEU;Germany;1977;1927694,058;;;
DEU;Germany;1978;1985594,48;;;
DEU;Germany;1979;2069383,056;;;
DEU;Germany;1980;2099168,355;;;
DEU;Germany;1981;2114200,197;;;
DEU;Germany;1982;2098889,993;;;
DEU;Germany;1983;2129510,403;;;
