Date;U_GAP;Y_GAP
1950-01-01;1,118818;-1,140716779
1950-04-01;0,312134;0,495556768
1950-07-01;-0,694604;3,011891198
1950-10-01;-1,101367;3,611719544
1951-01-01;-1,808113;3,66903075
1951-04-01;-2,214789;4,128066796
1951-07-01;-2,121333408;4,868272173
1951-10-01;-1,927682495;3,65170016
1952-01-01;-2,233774;3,309040679
1952-04-01;-2,339555;2,056749783
1952-07-01;-2,144985485;1,440812554
1952-10-01;-2,550040436;3,488478613
1953-01-01;-2,654713;4,262514081
1953-04-01;-2,75901165;4,018095591
1953-07-01;-2,662958;2,513833875
1953-10-01;-1,666582394;0,164439969
1954-01-01;-0,069922;-1,052207742
1954-04-01;0,42698555;-1,602553649
1954-07-01;0,624098;-1,114180588
1954-10-01;-0,078624;0,173136564
1955-01-01;-0,68122;2,391484251
1955-04-01;-0,983725;3,365519071
1955-07-01;-1,286171;4,085356874
1955-10-01;-1,188586;4,016370053
1956-01-01;-1,390996456;2,924072105
1956-04-01;-1,19343;3,098964429
1956-07-01;-1,295917;2,307959546
1956-10-01;-1,298493;3,25340375
1957-01-01;-1,501198387;3,125038635
1957-04-01;-1,304080391;2,068367548
1957-07-01;-1,207184601;2,202762726
1957-10-01;-0,510558;0,265704331
1958-01-01;0,88575964;-3,181907034
1958-04-01;1,981734;-3,408898082
1958-07-01;1,877341557;-2,055581437
1958-10-01;0,972571;-0,700487022
1959-01-01;0,367423344;0,250600842
1959-04-01;-0,338085556;1,512925743
1959-07-01;-0,143927;0,550778788
1959-10-01;0,149936;-0,191199203
1960-01-01;-0,35645237;0,99489736
1960-04-01;-0,263051;-0,564630027
1960-07-01;0,030170441;-1,075951851
1960-10-01;0,82323;-3,291821959
1961-01-01;1,316125;-3,57480404
1961-04-01;1,508835;-2,835783292
1961-07-01;1,301324654;-1,894423513
1961-10-01;0,693544579;-0,896683852
1962-01-01;0,085441;-0,087206078
1962-04-01;-0,023042;-0,17396929
1962-07-01;0,068049526;0,023106469
1962-10-01;-0,041324;-0,695712513
1963-01-01;0,248812;-0,669746864
1963-04-01;0,138448;-0,623256863
1963-07-01;-0,072411;0,477890568
1963-10-01;0,016252613;0,051584494
1964-01-01;-0,095527649;1,077194551
1964-04-01;-0,407706;1,081399466
1964-07-01;-0,620222569;1,557499666
1964-10-01;-0,633007;0,783828015
1965-01-01;-0,745977;2,103362174
1965-04-01;-0,959044;2,306309301
1965-07-01;-1,272116;3,45663224
1965-10-01;-1,585105;4,708868122
1966-01-01;-1,79793;6,105776131
1966-04-01;-1,910529;5,32203197
1966-07-01;-1,922861;5,059391855
1966-10-01;-2,034915;4,778475487
1967-01-01;-1,946704;4,548487026
1967-04-01;-1,95827;3,461283263
1967-07-01;-1,969672;3,288854343
1967-10-01;-1,880984;2,910178132
1968-01-01;-2,092286;3,849009342
1968-04-01;-2,203658485;4,433871817
1968-07-01;-2,315175533;4,086607309
1968-10-01;-2,426905;3,347609306
1969-01-01;-2,438901;3,849025882
1969-04-01;-2,451209641;3,099812393
1969-07-01;-2,263864;2,768634714
1969-10-01;-2,276888;1,305595194
1970-01-01;-1,690298367;0,236565813
1970-04-01;-1,1041;-0,493208253
1970-07-01;-0,718292;-0,416567772
1970-10-01;-0,132861;-2,278806479
1971-01-01;-0,047782;-0,422321923
1971-04-01;-0,063016;-0,678136674
1971-07-01;0,021494389;-0,653233154
1971-10-01;-0,094177;-1,207049756
1972-01-01;-0,20994;-0,190523533
1972-04-01;-0,325690556;1,259947046
1972-07-01;-0,441317;1,392176083
1972-10-01;-0,656706;2,246000579
1973-01-01;-1,171745396;3,908303813
1973-04-01;-1,186335;4,141174111
1973-07-01;-1,30038662;2,704154591
1973-10-01;-1,313830566;2,776886881
1974-01-01;-1,026616478;1,000817416
1974-04-01;-0,938715;0,351631597
1974-07-01;-0,550114536;-1,452469876
1974-10-01;0,43918047;-2,663418601
1975-01-01;2,129156;-4,633773404
1975-04-01;2,719791;-4,715359408
1975-07-01;2,311066;-3,840290404
1975-10-01;2,102967548;-3,297117243
1976-01-01;1,495491;-1,873121421
1976-04-01;1,388642;-1,907914824
1976-07-01;1,482437;-2,138749934
1976-10-01;1,576901;-2,203011995
1977-01-01;1,272069;-1,837689705
1977-04-01;0,867983437;-0,74762427
1977-07-01;0,664691;0,21242207
1977-10-01;0,462243;-0,623703607
1978-01-01;0,060689;-1,153416315
1978-04-01;-0,239927;1,784126848
1978-07-01;-0,239574432;1,907520103
1978-10-01;-0,33823452;2,362614786
1979-01-01;-0,335909462;1,620221787
1979-04-01;-0,532617;0,850859043
1979-07-01;-0,328393555;0,779979162
1979-10-01;-0,22329;0,281196347
1980-01-01;0,076793593;-0,070499946
1980-04-01;1,085554079;-2,700643833
1980-07-01;1,494317852;-3,299045138
1980-10-01;1,20309057;-2,004222195
