Date;U_DELTA;Y_GROWTH_GAP
1950-01-01;-0,6;10,95308473
1950-04-01;-0,8;7,093644506
1950-07-01;-1;10,98170135
1950-10-01;-0,4;2,493930951
1951-01-01;-0,7;0,189724623
1951-04-01;-0,4;1,86564117
1951-07-01;0,1;3,032941144
1951-10-01;0,2;-4,798833304
1952-01-01;-0,3;-1,427663221
1952-04-01;-0,1;-5,102245273
1952-07-01;0,2;-2,538725393
1952-10-01;-0,4;8,745623778
1953-01-01;-0,1;3,215094876
1953-04-01;-0,1;-1,001145055
1953-07-01;0,1;-5,8349396
1953-10-01;1;-9,123502694
1954-01-01;1,6;-4,91814174
1954-04-01;0,5;-2,304335577
1954-07-01;0,2;2,055130302
1954-10-01;-0,7;5,487903912
1955-01-01;-0,6;9,363538278
1955-04-01;-0,3;3,993404779
1955-07-01;-0,3;2,874967518
1955-10-01;0,1;-0,296393699
1956-01-01;-0,2;-4,203401788
1956-04-01;0,2;0,651948831
1956-07-01;-0,1;-3,059152346
1956-10-01;0;3,908419272
1957-01-01;-0,2;-0,497503148
1957-04-01;0,2;-4,195354044
1957-07-01;0,1;0,568159387
1957-10-01;0,7;-7,65606193
1958-01-01;1,4;-13,53624893
1958-04-01;1,1;-0,921958913
1958-07-01;-0,1;5,953444221
1958-10-01;-0,9;5,879790422
1959-01-01;-0,6;4,039350424
1959-04-01;-0,7;5,314171247
1959-07-01;0,2;-3,872834257
1959-10-01;0,3;-3,086148884
1960-01-01;-0,5;5,04243776
1960-04-01;0,1;-6,249374011
1960-07-01;0,3;-2,09892663
1960-10-01;0,8;-8,972910704
1961-01-01;0,5;-1,238764001
1961-04-01;0,2;3,251011546
1961-07-01;-0,2;4,076770434
1961-10-01;-0,6;4,306589508
1962-01-01;-0,6;3,40835053
1962-04-01;-0,1;-0,329310698
1962-07-01;0,1;0,815438308
1962-10-01;-0,1;-2,989899273
1963-01-01;0,3;0,068719331
1963-04-01;-0,1;0,229719488
1963-07-01;-0,2;4,714370387
1963-10-01;0,1;-1,810260584
1964-01-01;-0,1;4,339924385
1964-04-01;-0,3;-0,010580367
1964-07-01;-0,2;1,982749426
1964-10-01;0;-3,187263652
1965-01-01;-0,1;5,542229036
1965-04-01;-0,2;0,881403051
1965-07-01;-0,3;4,782440267
1965-10-01;-0,3;5,10774539
1966-01-01;-0,2;5,687741614
1966-04-01;-0,1;-3,024170258
1966-07-01;0;-1,068759174
1966-10-01;-0,1;-1,134731102
1967-01-01;0,1;-0,905066362
1967-04-01;0;-4,326166614
1967-07-01;0;-0,733470383
1967-10-01;0,1;-1,474833157
1968-01-01;-0,2;3,857404702
1968-04-01;-0,1;2,422786391
1968-07-01;-0,1;-1,41750506
1968-10-01;-0,1;-2,917134193
1969-01-01;0;2,03410931
1969-04-01;0;-2,99335667
1969-07-01;0,2;-1,295856068
1969-10-01;0;-5,750068596
1970-01-01;0,6;-4,314761413
1970-04-01;0,6;-2,950923747
1970-07-01;0,4;0,281851018
1970-10-01;0,6;-7,494625015
1971-01-01;0,1;8,056673887
1971-04-01;0;-1,037667021
1971-07-01;0,1;0,072974265
1971-10-01;-0,1;-2,325350226
1972-01-01;-0,1;4,361239775
1972-04-01;-0,1;6,143536203
1972-07-01;-0,1;0,510401213
1972-10-01;-0,2;3,557361807
1973-01-01;-0,5;6,915599126
1973-04-01;0;0,904292948
1973-07-01;-0,1;-5,609207075
1973-10-01;0;0,342330022
1974-01-01;0,3;-6,981716413
1974-04-01;0,1;-2,591977314
1974-07-01;0,4;-7,217915951
1974-10-01;1;-4,947067327
1975-01-01;1,7;-8,134097471
1975-04-01;0,6;-0,342442295
1975-07-01;-0,4;3,816901142
1975-10-01;-0,2;2,352175731
1976-01-01;-0,6;6,202064569
1976-04-01;-0,1;-0,112090852
1976-07-01;0,1;-0,975442607
1976-10-01;0,1;-0,29268007
1977-01-01;-0,3;1,521826669
1977-04-01;-0,4;4,669926896
1977-07-01;-0,2;4,047132989
1977-10-01;-0,2;-3,416449742
1978-01-01;-0,4;-2,174165723
1978-04-01;-0,3;12,88589444
1978-07-01;0;0,519105241
1978-10-01;-0,1;1,877571745
1979-01-01;0;-2,99599823
1979-04-01;-0,2;-3,12744901
1979-07-01;0,2;-0,294572004
1979-10-01;0,1;-2,028491023
1980-01-01;0,3;-1,397353161
1980-04-01;1;-10,36881545
1980-07-01;0,4;-2,511907804
1980-10-01;-0,3;5,607875096
1981-01-01;0;5,787686063
1981-04-01;0;-5,369228796
1981-07-01;0;2,295919414
1981-10-01;0,8;-7,045280988
1982-01-01;0,6;-8,947546626
1982-04-01;0,6;-1,103194283
1982-07-01;0,5;-4,446099193
1982-10-01;0,8;-2,798299645
1983-01-01;-0,3;2,434030731
1983-04-01;-0,3;6,396863035
1983-07-01;-0,7;5,138002219
1983-10-01;-0,9;5,432142647
1984-01-01;-0,6;4,823469139
1984-04-01;-0,5;3,722775836
1984-07-01;0;0,464054624
1984-10-01;-0,1;-0,180498848
1985-01-01;-0,1;0,412116115
1985-04-01;0,1;0,117615497
1985-07-01;-0,1;2,834504356
1985-10-01;-0,2;-0,438953954
1986-01-01;0;0,398455242
1986-04-01;0,2;-1,561459893
1986-07-01;-0,2;0,563175811
1986-10-01;-0,2;-1,108544475
1987-01-01;-0,2;-0,272178434
1987-04-01;-0,3;1,187884538
1987-07-01;-0,3;0,348118912
1987-10-01;-0,2;3,872061288
1988-01-01;-0,1;-0,972564525
1988-04-01;-0,2;2,364274182
1988-07-01;0;-0,586714816
1988-10-01;-0,2;2,438433973
1989-01-01;-0,1;1,169129012
1989-04-01;0;0,203388409
1989-07-01;0;0,129800779
1989-10-01;0,2;-2,045039667
1990-01-01;-0,1;1,584852288
1990-04-01;0;-1,28264742
1990-07-01;0,4;-2,422368617
1990-10-01;0,4;-6,264567763
1991-01-01;0,5;-4,52290586
1991-04-01;0,2;0,625171122
1991-07-01;0,1;-0,555799654
1991-10-01;0,2;-1,184861682
1992-01-01;0,3;2,289932074
1992-04-01;0,2;1,763328837
1992-07-01;0;1,318993727
1992-10-01;-0,2;1,487675099
1993-01-01;-0,3;-2,074407363
1993-04-01;0;-0,497450333
1993-07-01;-0,3;-0,917199285
1993-10-01;-0,2;2,752137798
1994-01-01;0;1,022958525
1994-04-01;-0,4;2,625546918
1994-07-01;-0,2;-0,500417108
1994-10-01;-0,4;1,77551685
1995-01-01;-0,1;-1,537704825
1995-04-01;0,2;-1,758899317
1995-07-01;0;0,536873737
1995-10-01;-0,1;-0,316896899
1996-01-01;-0,1;-0,059093915
1996-04-01;0;3,585815286
1996-07-01;-0,2;0,196705996
1996-10-01;0;0,623233162
1997-01-01;-0,1;-1,1310516
1997-04-01;-0,2;2,954471863
1997-07-01;-0,1;1,12689422
1997-10-01;-0,2;-0,561679309
1998-01-01;-0,1;-0,039331399
1998-04-01;-0,2;-0,416698296
1998-07-01;0,1;0,852685369
1998-10-01;-0,1;2,3078242
1999-01-01;-0,1;-0,538969223
1999-04-01;0;-0,931832752
1999-07-01;-0,1;1,083145422
1999-10-01;-0,1;2,377076356
2000-01-01;-0,1;-2,805778221
2000-04-01;-0,1;3,33054924
2000-07-01;0,1;-3,580752074
2000-10-01;-0,1;-1,373383182
2001-01-01;0,3;-4,864118525
2001-04-01;0,2;-0,820246162
2001-07-01;0,4;-4,661797522
2001-10-01;0,7;-1,733421389
2002-01-01;0,2;0,764956829
2002-04-01;0,1;0,00780626
2002-07-01;-0,1;-0,80439758
2002-10-01;0,2;-1,851940989
2003-01-01;0;-0,247523363
2003-04-01;0,2;1,227092402
2003-07-01;0;4,408290047
2003-10-01;-0,3;2,251588322
2004-01-01;-0,1;-0,214272093
2004-04-01;-0,1;0,550948043
2004-07-01;-0,2;1,202481849
2004-10-01;0;1,469901006
2005-01-01;-0,1;1,913439955
2005-04-01;-0,2;-0,515127198
2005-07-01;-0,1;0,721728817
2005-10-01;0;-0,228608669
2006-01-01;-0,3;3,135813164
2006-04-01;-0,1;-1,295484013
2006-07-01;0;-1,582794639
2006-10-01;-0,2;1,426194193
2007-01-01;0,1;-0,873168927
2007-04-01;0;0,428445056
2007-07-01;0,2;0,227225248
2007-10-01;0,1;0,469157135
2008-01-01;0,2;-3,705479767
2008-04-01;0,3;0,487045953
2008-07-01;0,7;-3,899596767
2008-10-01;0,9;-10,16789897
2009-01-01;1,4;-6,011681351
2009-04-01;1;-2,087608853
2009-07-01;0,3;0,115373468
2009-10-01;0,3;3,162068867
2010-01-01;-0,1;0,646047133
2010-04-01;-0,2;2,610526051
2010-07-01;-0,1;1,738762107
2010-10-01;0;0,68045065
2011-01-01;-0,5;-2,379657816
2011-04-01;0,1;1,181171873
2011-07-01;-0,1;-1,656919062
2011-10-01;-0,4;2,989856016
2012-01-01;-0,3;1,735049736
2012-04-01;-0,1;0,095279056
2012-07-01;-0,2;-1,12597982
2012-10-01;-0,2;-1,251636197
2013-01-01;-0,1;2,202549121
2013-04-01;-0,2;-0,716302471
2013-07-01;-0,3;1,671185977
2013-10-01;-0,3;1,637291589
2014-01-01;-0,2;-3,297762175
2014-04-01;-0,5;3,382558229
2014-07-01;-0,1;3,04088765
2014-10-01;-0,4;0,010300699
2015-01-01;-0,2;1,579863104
2015-04-01;-0,1;0,461418159
2015-07-01;-0,3;-0,447905403
2015-10-01;-0,1;-1,359678361
2016-01-01;-0,1;0,229364846
2016-04-01;0;-0,762774085
2016-07-01;0;0,859561907
2016-10-01;-0,1;0,18015286
2017-01-01;-0,2;-0,010563809
2017-04-01;-0,2;0,299476786
2017-07-01;-0,1;1,194954261
2017-10-01;-0,1;2,58501887
2018-01-01;-0,2;1,261230166
2018-04-01;-0,1;0,032178102
2018-07-01;-0,1;0,424567686
2018-10-01;0;-1,498961646
2019-01-01;0,1;0,365722791
2019-04-01;-0,3;1,267153199
2019-07-01;0;2,677634741
2019-10-01;0;0,744436287
2020-01-01;0,2;-7,204379817
2020-04-01;9,2;-29,933906
2020-07-01;-4,2;33,07780281
2020-10-01;-2;2,759157265
2021-01-01;-0,6;3,787500367
2021-04-01;-0,3;4,997579136
2021-07-01;-0,8;1,162913124
2021-10-01;-0,9;4,766215765
2022-01-01;-0,3;-3,334392769
2022-04-01;-0,3;-1,825057522
2022-07-01;-0,1;0,387168791
2022-10-01;0,1;0,221862412
2023-01-01;-0,1;0,253699508
2023-04-01;0;-0,196925275
2023-07-01;0,1;1,997116737
2023-10-01;0,2;0,699270063
2024-01-01;0;-1,886276187
2024-04-01;0,2;0,944168179
2024-07-01;0,2;0,7011784
2024-10-01;-0,1;-0,625341242
2025-01-01;0;-3,082694816
2025-04-01;0,1;1,493520769
2025-07-01;0,1;2,145205335
2025-10-01;0,2;-1,532480162
